1956 2.35
1957 3.7
1958 -0.45
1959 0.48
1960 0.68
1961 0.4
1962 0.83
1963 3.92
1964 2.85
1965 4.39
1966 1.54
1967 3.05
1968 2.3
1969 2.82
1970 4.33
1971 5.51
1972 5.88
1973 6.14
1974 11.24
1975 10.89
1976 8.47
1977 4.33
1978 3.37
1979 5.99
1980 6.99
1981 8.04
1982 10.43
1983 8.02
1984 4.09
1985 4.14
1986 -1.42
1987 0.65
1988 1.92
1989 3.91
1990 3.76
1991 2.61
1992 2.9
1993 3.61
1994 2.01
1995 1.26
1996 1.33
1997 1.47
1998 0.4
1999 2.37
2000 3.47
2001 1.72
2002 2.24
2003 2.06
2004 2.15
2005 2.48
2006 2.34
2007 3.36
2008 1.09
2009 1.8
2010 2.78
2011 3.18
2012 2.32
2013 1.54
2014 -0.61
2015 1.09
