1956 3.04
1957 4.64
1958 1.85
1959 0.0
1960 1.81
1961 4.37
1962 2.65
1963 1.86
1964 4.8
1965 4.49
1966 3.68
1967 2.45
1968 5.94
1969 4.67
1970 7.89
1971 9.03
1972 7.65
1973 10.58
1974 19.14
1975 24.89
1976 15.07
1977 12.14
1978 8.39
1979 17.24
1980 15.12
1981 12.05
1982 5.41
1983 5.31
1984 4.58
1985 5.64
1986 3.75
1987 3.71
1988 4.68
1989 5.4
1990 7.61
1991 7.21
1992 2.54
1993 2.48
1994 2.05
1995 2.96
1996 2.3
1997 1.69
1998 1.55
1999 1.2
2000 0.75
2001 1.07
2002 1.69
2003 1.25
2004 1.64
2005 1.92
2006 2.97
2007 2.12
2008 3.11
2009 2.83
2010 3.73
2011 4.2
2012 2.71
2013 1.99
2014 0.5
2015 0.2
