1958 5.15
1959 4.23
1960 0.0
1961 3.21
1962 2.48
1963 6.87
1964 17.01
1965 5.49
1966 13.94
1967 8.6
1968 -2.23
1969 3.54
1970 5.01
1971 4.89
1972 7.66
1973 23.81
1974 25.4
1975 -6.18
1976 0.0
1977 7.86
1978 1.51
1979 11.7
1980 9.09
1981 12.73
1982 8.05
1983 12.46
1984 5.19
1985 7.14
1986 9.21
1987 9.31
1988 8.79
1989 5.42
1990 13.71
1991 13.07
1992 8.0
1993 8.64
1994 9.47
1995 9.69
1996 10.41
1997 6.29
1998 15.32
1999 0.47
2000 3.48
2001 5.16
2002 3.2
2003 3.72
2004 3.78
2005 5.57
2006 6.53
2007 5.51
2008 9.7
2009 14.97
2010 9.47
2011 6.49
2012 11.17
2013 9.13
2014 5.86
2015 6.32
