1958 4.74
1959 4.61
1960 1.83
1961 1.69
1962 3.63
1963 2.94
1964 13.27
1965 9.65
1966 10.77
1967 13.13
1968 3.36
1969 -0.56
1970 5.09
1971 3.07
1972 6.43
1973 16.79
1974 28.52
1975 6.62
1976 -7.57
1977 8.31
1978 2.54
1979 6.23
1980 11.38
1981 13.11
1982 7.93
1983 11.83
1984 8.43
1985 5.55
1986 8.72
1987 8.79
1988 9.39
1989 7.11
1990 8.92
1991 13.88
1992 11.88
1993 6.31
1994 10.24
1995 10.22
1996 8.98
1997 7.25
1998 13.17
1999 4.84
2000 4.02
2001 3.77
2002 4.31
2003 3.81
2004 3.77
2005 4.25
2006 5.79
2007 6.39
2008 8.32
2009 10.83
2010 12.11
2011 8.87
2012 9.3
2013 10.92
2014 6.37
2015 5.88
2016 5.88
