1956 2.99
1957 2.9
1958 1.76
1959 1.73
1960 1.36
1961 0.67
1962 1.33
1963 1.64
1964 0.97
1965 1.92
1966 3.46
1967 3.04
1968 4.72
1969 6.2
1970 5.57
1971 3.27
1972 3.41
1973 8.71
1974 12.34
1975 6.94
1976 4.86
1977 6.7
1978 9.02
1979 13.29
1980 12.52
1981 8.92
1982 3.83
1983 3.79
1984 3.95
1985 3.8
1986 1.1
1987 4.43
1988 4.42
1989 4.65
1990 6.11
1991 3.06
1992 2.9
1993 2.75
1994 2.67
1995 2.54
1996 3.32
1997 1.7
1998 1.61
1999 2.68
2000 3.39
2001 1.55
2002 2.38
2003 1.88
2004 3.26
2005 3.42
2006 2.54
2007 4.08
2008 0.09
2009 2.72
2010 1.5
2011 2.96
2012 1.74
2013 1.5
2014 0.76
2015 0.73
