1956 1.52
1957 3.34
1958 2.74
1959 1.01
1960 1.46
1961 1.07
1962 1.2
1963 1.24
1964 1.28
1965 1.58
1966 3.01
1967 2.77
1968 4.27
1969 5.46
1970 5.84
1971 4.3
1972 3.27
1973 6.16
1974 11.03
1975 9.19
1976 5.76
1977 6.5
1978 7.62
1979 11.22
1980 13.58
1981 10.35
1982 6.16
1983 3.22
1984 4.3
1985 3.55
1986 1.91
1987 3.66
1988 4.08
1989 4.83
1990 5.39
1991 4.25
1992 3.03
1993 2.95
1994 2.61
1995 2.81
1996 2.93
1997 2.34
1998 1.55
1999 2.19
2000 3.38
2001 2.83
2002 1.59
2003 2.27
2004 2.68
2005 3.39
2006 3.24
2007 2.85
2008 3.85
2009 -0.34
2010 1.64
2011 3.16
2012 2.07
2013 1.47
2014 1.62
2015 0.12
2016 1.08
